Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
AK|CDVT|60.4936|-145.4696|152.0|Cordova Airport, AK, USA|2010-11-10T00:00:00|2599-12-31T23:59:59
AK|DAM1|59.7554|-150.8513|354.0|Bradley Dam 1, AK, USA|2009-06-20T00:00:00|2599-12-31T23:59:59
AK|DAM2|59.755299|-150.855499|363.0|Bradley Dam 2, AK, USA|2009-06-20T00:00:00|2599-12-31T23:59:59
AK|FA01|64.8348|-147.9371|263.0|Chena-GS Fire Station, Fairbanks, AK, USA|2002-11-15T00:00:00|2599-12-31T23:59:59
AK|FA02|64.8456|-148.009|194.0|Ester Fire Station, AK, USA|2002-10-11T00:00:00|2599-12-31T23:59:59
AK|FA05|64.8393|-147.7516|135.0|Denali Elem. School, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA06|64.8461|-147.6957|136.0|Nordale Education Center, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA07|64.8267|-147.6946|135.0|Arctic Light Elem. School, Fairbanks, AK, USA|2003-08-13T00:00:00|2599-12-31T23:59:59
AK|FA09|64.8377|-147.8172|135.0|DNR, Fairbanks, AK, USA|2003-07-28T00:00:00|2599-12-31T23:59:59
AK|FA10|64.8186|-147.7784|133.0|Bus Barn, Fairbanks, AK, USA|2003-06-30T00:00:00|2599-12-31T23:59:59
AK|FA12|64.8269|-147.8684|436.0|Watershed School, Fairbanks, AK, USA|2017-11-09T00:00:00|2599-12-31T23:59:59
AK|FIRE|61.1426|-150.2164|62.0|Fire Island, AK, USA|2013-07-20T00:00:00|2599-12-31T23:59:59
AK|GIB|64.859802|-147.849106|180.0|Geophysical Institute, Fairbanks, AK|2010-09-01T00:00:00|2599-12-31T23:59:59
AK|GLI|60.8792|-147.0959|430.0|Glacier Island, AK, USA|2010-07-26T00:00:00|2599-12-31T23:59:59
AK|HIN|60.396|-146.5035|622.9|Hinchinbrook, AK, USA|2009-11-01T00:00:00|2599-12-31T23:59:59
AK|K203|61.2201|-149.7453|79.0|Anchorage, St Christopher Episcopal Church, AK, US|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K204|61.1758|-150.011505|30.0|Anchorage, Signature Flight Support, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K205|61.199402|-149.916306|51.0|Anchorage, West High School, AK, USA|2013-01-24T00:00:00|2599-12-31T23:59:59
AK|K208|61.1763|-149.9216|20.0|Anchorage, Spenard Recreation Center, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K209|61.184601|-149.747192|96.0|Anchorage, Scenic Park Bible Church, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K210|61.1292|-149.931|17.0|Anchorage, Mears Jr High School, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K211|61.149101|-149.857803|34.0|Anchorage, Fire Department HQ 12, AK, USA|2011-02-03T00:00:00|2599-12-31T23:59:59
AK|K212|61.155602|-149.793396|70.0|Anchorage, BLM Office, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K213|61.1128|-149.8595|51.0|Anchorage, ASD Operation Center, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K214|61.1235|-149.7677|175.0|Anchorage, OMalley Fire Station, AK, USA|2008-07-01T00:00:00|2599-12-31T23:59:59
AK|K215|61.086201|-149.752106|284.0|Anchorage, Rabbit Creek Fire Station, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K216|61.0981|-149.6867|721.0|Anchorage, AT&T Surface and Borehole, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K217|61.396|-149.515503|72.0|Chugiak Fire Station, AK, USA|1995-08-01T00:00:00|2599-12-31T23:59:59
AK|K218|61.5926|-149.1332|87.0|Palmer, National Tsunami Warning Center, AK, USA|2009-11-01T00:00:00|2599-12-31T23:59:59
AK|K220|61.154|-150.0552|68.0|Anchorage, Kincaid Park, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K221|61.1525|-149.9512|38.0|Anchorage, St. James Orthodox Church, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K222|61.0876|-149.8366|39.0|Anchorage, Chapel by the Sea, AK, USA|2009-07-01T00:00:00|2599-12-31T23:59:59
AK|K223|61.2338|-149.8675|43.0|Anchorage, Government Hill Elem. School, AK, USA|2009-11-03T00:00:00|2599-12-31T23:59:59
